Movie ID,Title,Director
0,Black Panther,Ryan Coogler
1,Avengers: Infinity War,"Anthony Russo, Joe Russo"
2,Incredibles 2,Brad Bird
3,Jurassic World: Fallen Kingdom,J.A. Bayona
4,Solo: A Star Wars Story,Ron Howard
5,Venom,Ruben Fleischer
6,Venom,Ruben Fleischer
7,Wonder Woman,Patty Jenkins
8,Jumanji: Welcome to the Jungle,Jake Kasdan
9,Spider-Man: Homecoming,Jon Watts
10,It,Andy Muschietti
11,Thor: Ragnarok,Taika Waititi
12,Justice League,Zack Snyder
13,Rogue One: A Star Wars Story,Gareth Edwards
14,Captain America: Civil War,"Anthony Russo, Joe Russo"
15,Deadpool,Tim Miller
16,Zootopia,"Byron Howard, Rich Moore, Jared Bush"
17,Batman v Superman: Dawn of Justice,Zack Snyder
18,Sing,"Garth Jennings, Christophe Lourdelet"
19,Sing,"Garth Jennings, Christophe Lourdelet"
20,Jurassic World,Colin Trevorrow
21,Avengers: Age of Ultron,Joss Whedon
22,Furious 7,James Wan
23,Minions,"Kyle Balda, Pierre Coffin"
24,The Hunger Games: Mockingjay - Part 2,Francis Lawrence
25,Transformers: Age of Extinction,Michael Bay
26,Guardians of the Galaxy,James Gunn
27,Maleficent,Robert Stromberg
28,X-Men: Days of Future Past,Bryan Singer
29,Captain America: The Winter Soldier,"Anthony Russo, Joe Russo"
30,The Amazing Spider-Man 2,Marc Webb
31,Dawn of the Planet of the Apes,Matt Reeves
32,Frozen,"Chris Buck, Jennifer Lee"
33,Iron Man 3,Shane Black
34,Despicable Me 2,"Pierre Coffin, Chris Renaud"
35,Monsters University,Dan Scanlon
36,Gravity,Alfonso Cuarón
37,Man of Steel,Zack Snyder
38,Thor: The Dark World,Alan Taylor
39,The Avengers,Joss Whedon
40,The Avengers,Joss Whedon
41,Skyfall,Sam Mendes
42,Ice Age: Continental Drift,"Steve Martino, Michael Thurmeier"
43,The Amazing Spider-Man,Marc Webb
44,Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath, Conrad Vernon"
45,Men in Black 3,Barry Sonnenfeld
46,Transformers: Dark of the Moon,Michael Bay
47,Pirates of the Caribbean: On Stranger Tides,Rob Marshall
