Movie ID,Rank,Title,Production Budget,Domestic Gross,Worldwide Gross,Main Genre,2nd Genre,3rd Genre,IMDB Rating,Studio,Year
0,48,Black Panther,200.0,700.059566,1336.49432,Action,Adventure,Drama,7.4,Walt Disney Pictures,2018
1,5,Avengers: Infinity War,300.0,678.815482,2048.359754,Action,Adventure,Sci-Fi,8.5,Walt Disney Pictures,2018
2,50,Incredibles 2,200.0,608.581744,1242.805359,Animation,Action,Adventure,7.8,Pixar,2018
3,144,Jurassic World: Fallen Kingdom,170.0,417.71976,1308.323302,Action,Adventure,Drama,6.2,Universal Pictures,2018
7,11,Solo: A Star Wars Story,275.0,213.767512,393.151347,Action,Adventure,Drama,7.0,Walt Disney Pictures,2018
8,353,Venom,116.0,213.511408,856.081053,Action,Adventure,Drama,6.9,Columbia Pictures,2018
13,192,Wonder Woman,150.0,412.563408,817.691766,Action,Adventure,Drama,7.5,Warner Bros,2017
14,503,Jumanji: Welcome to the Jungle,90.0,404.508916,961.632807,Action,Adventure,Comedy,7.0,Sony Pictures,2017
16,127,Spider-Man: Homecoming,175.0,334.20114,878.271291,Action,Adventure,Drama,7.5,Sony Pictures,2017
17,1785,It,35.0,328.828874,701.012746,Horror,Drama,Mystery,7.4,Warner Bros,2017
18,110,Thor: Ragnarok,180.0,315.058289,850.482778,Action,Adventure,Drama,7.9,Walt Disney Pictures,2017
20,7,Justice League,300.0,229.024295,655.945209,Action,Adventure,Drama,6.5,Warner Bros,2017
21,51,Rogue One: A Star Wars Story,200.0,533.539991,1055.083596,Action,Adventure,Drama,7.8,Walt Disney Pictures,2016
23,18,Captain America: Civil War,250.0,408.084349,1151.899586,Action,Adventure,Sci-Fi,7.8,Walt Disney Pictures,2016
26,1066,Deadpool,58.0,363.070709,781.947691,Action,Comedy,Adventure,8.0,20th Century Fox,2016
27,194,Zootopia,150.0,341.268248,1004.629935,Animation,Action,Adventure,8.0,Walt Disney Pictures,2016
28,13,Batman v Superman: Dawn of Justice,263.0,330.360194,872.395091,Action,Adventure,Sci-Fi,6.5,Warner Bros,2016
30,710,Sing,75.0,270.329045,631.064182,Animation,Music,Comedy,7.1,Universal Pictures,2016
33,38,Jurassic World,215.0,652.306625,1669.963641,Action,Adventure,Mystery,7.0,Universal Pictures,2015
34,3,Avengers: Age of Ultron,365.0,459.005868,1395.316979,Action,Adventure,Sci-Fi,7.4,Walt Disney Pictures,2015
36,91,Furious 7,190.0,353.00702,1514.553486,Action,Adventure,Mystery,7.2,Universal Pictures,2015
37,761,Minions,74.0,336.04577,1157.271759,Animation,Comedy,Family,6.4,Universal Pictures,2015
38,173,The Hunger Games: Mockingjay - Part 2,160.0,281.723902,648.986787,Action,Adventure,Fantasy,6.6,Lionsgate Films,2015
