Movie ID,Number of Movies,Average Budget,Average Domestic Gross,Average Worldwide Gross
Steven Spielberg,8,68.1875,244.12954975,568.2433755
Michael Bay,8,157.8125,248.9895125,673.2277235
Richard Donner,5,54.0,105.83877620000001,228.9575868
Zack Snyder,4,212.0,265.2612365,662.62543825
Roland Emmerich,4,140.0,214.9245725,664.998703
Robert Zemeckis,4,47.25,143.5573495,312.565812
Tim Burton,3,150.0,240.220642,621.1761113333333
Chris Columbus,3,48.333333333333336,218.33798266666668,558.5144686666666
Ron Howard,3,154.33333333333334,215.96303466666666,358.13300699999996
James Cameron,3,118.0,338.8881026666666,1152.9728429999998
Bryan Singer,3,169.0,197.11375033333334,478.6054446666667
"Anthony Russo, Joe Russo",3,240.0,448.88226299999997,1304.8870763333334
"Gary Trousdale, Kirk Wise",2,130.0,302.076508,797.771029
Jan de Bont,2,59.0,181.468265,389.45
Joe Johnston,2,79.0,140.8122125,314.329155
John Glen,2,27.75,61.35,191.4
Joss Whedon,2,295.0,541.181889,1455.208595
"Eric Darnell, Tom McGrath",2,112.5,186.8852005,578.12017
Kevin Reynolds,2,112.5,126.870064,327.37311
Leonard Nimoy,2,21.0,93.092089,110.0
Mike Newell,2,77.25,171.451292,564.819298
Lewis Gilbert,2,22.5,58.55,197.85000000000002
M. Night Shyamalan,2,55.3513095,260.73779349999995,540.528435
Marc Webb,2,210.0,232.442298,733.4433015
Chuck Russell,2,59.0,110.6078455,293.0100645
Oliver Stone,2,27.0,70.203598,137.700849
Peter Jackson,2,150.5,297.962965,835.3641265
"Pierre Coffin, Chris Renaud",2,72.5,309.78968499999996,759.340704
Stephen Sommers,2,146.5,141.0543825,422.49715000000003
Tom Shadyac,2,68.0,185.75950699999999,379.1413135
Tony Scott,2,17.5,167.0677625,317.067279
Wolfgang Petersen,2,102.5,177.7874215,321.9898935
David Yates,2,200.0,297.113269,934.515459
Jon Favreau,2,178.0,315.5187285,603.1639680000001
Christopher Nolan,2,172.5,413.148571,863.5768745
Alfonso Cuarón,2,120.0,261.92521550000004,738.9034995
Brian De Palma,2,52.5,128.62617,266.98499449999997
Brad Bird,2,146.0,435.011418,937.1232255
Colin Trevorrow,1,215.0,652.306625,1669.963641
Raja Gosnell,1,110.0,142.614158,563.749323
Peter Weir,1,12.0,65.532576,65.532576
Phillip Noyce,1,62.0,122.012656,207.5
Phyllida Lloyd,1,52.0,144.130063,598.421187
"Bibo Bergeron, Vicky Jenson, Rob Letterman",1,75.0,161.412,371.741123
Renny Harlin,1,65.0,84.049211,255.0
Randal Kleiser,1,4.5,47.923795,47.923795
Peter Cattaneo,1,3.5,45.950122,261.249383
Richard Attenborough,1,26.0,50.8,50.8
Barry Sonnenfeld,1,215.0,179.020854,654.213485
"Richard Lester, Richard Donner",1,54.0,108.185706,190.4
Ridley Scott,1,87.0,165.092266,350.10028
Blake Edwards,1,5.0,41.833347,41.833347
"Pete Docter, Bob Peterson",1,175.0,293.004164,731.463377
"Pete Docter, David Silverman, Lee Unkrich",1,115.0,290.149425,560.483719
Robert Stromberg,1,180.0,241.407328,758.536735
Penny Marshall,1,18.0,114.968774,151.665347
Paul Verhoeven,1,125.0,58.877969,211.856088
Patty Jenkins,1,150.0,412.563408,817.691766
Nicholas Meyer,1,12.0,78.912963,95.8
"Nathan Greno, Byron Howard",1,260.0,200.821936,583.777242
Nancy Meyers,1,65.0,182.805123,374.105123
Mimi Leder,1,80.0,140.464664,349.464664
"Brad Bird, Jan Pinkava",1,150.0,206.445654,626.549695
Mike Mitchell,1,165.0,238.736787,756.244673
"Mike Gabriel, Eric Goldberg",1,55.0,141.579773,347.1
Rob Marshall,1,379.0,241.071802,1045.713802
Robert Wise,1,35.0,82.258456,139.0
Michael Ritchie,1,12.0,79.817937,79.817937
Steve Barron,1,125.0,191.204754,485.004754
