Movie ID,IMDb ID,Title,Year
0,tt0114709,Toy Story,1995
1,tt0113497,Jumanji,1995
2,tt0113228,Grumpier Old Men,1995
3,tt0114885,Waiting to Exhale,1995
4,tt0113041,Father of the Bride Part II,1995
5,tt0113277,Heat,1995
6,tt0114319,Sabrina,1995
7,tt0112302,Tom and Huck,1995
8,tt0114576,Sudden Death,1995
9,tt0113189,GoldenEye,1995
10,tt0112346,The American President,1995
11,tt0112896,Dracula: Dead and Loving It,1995
12,tt0112453,Balto,1995
13,tt0113987,Nixon,1995
14,tt0112760,Cutthroat Island,1995
15,tt0112641,Casino,1995
16,tt0114388,Sense and Sensibility,1995
17,tt0113101,Four Rooms,1995
18,tt0112281,Ace Ventura: When Nature Calls,1995
19,tt0113845,Money Train,1995
20,tt0113161,Get Shorty,1995
21,tt0112722,Copycat,1995
22,tt0112401,Assassins,1995
23,tt0114168,Powder,1995
24,tt0113627,Leaving Las Vegas,1995
25,tt0114057,Othello,1995
26,tt0114011,Now and Then,1995
27,tt0114117,Persuasion,1995
28,tt0112682,The City of Lost Children,1995
29,tt0115012,Shanghai Triad,1995
30,tt0112792,Dangerous Minds,1995
31,tt0114746,Twelve Monkeys,1995
32,tt0114952,Wings of Courage,1996
33,tt0112431,Babe,1995
34,tt0112637,Carrington,1995
35,tt0112818,Dead Man Walking,1995
36,tt0112286,Across the Sea of Time,1995
37,tt0113442,It Takes Two,1995
38,tt0112697,Clueless,1995
39,tt0112749,"Cry, the Beloved Country",1995
40,tt0114279,Richard III,1995
41,tt0112819,Dead Presidents,1995
42,tt0114272,Restoration,1995
43,tt0113855,Mortal Kombat,1995
44,tt0114681,To Die For,1995
45,tt0113347,How To Make An American Quilt,1995
46,tt0114369,Se7en,1995
47,tt0114148,Pocahontas,1995
48,tt0114916,When Night Is Falling,1995
49,tt0114814,The Usual Suspects,1995
50,tt0109950,Guardian Angel,1994
51,tt0113819,Mighty Aphrodite,1995
52,tt0110299,Lamerica,1994
53,tt0112499,The Big Green,1995
54,tt0113158,Georgia,1995
55,tt0113541,Kids of the Round Table,1997
56,tt0113321,Home for the Holidays,1995
57,tt0110877,The Postman,1994
58,tt0112714,The Confessional,1995
59,tt0113419,The Indian in the Cupboard,1995
60,tt0116260,Eye for an Eye,1996
61,tt0113862,Mr. Holland's Opus,1995
62,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996
63,tt0118002,Two If by Sea,1996
64,tt0115683,Bio-Dome,1996
65,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996
66,tt0114753,Two Bits,1995
67,tt0113149,French Twist,1995
68,tt0113118,Friday,1995
69,tt0116367,From Dusk Till Dawn,1996
70,tt0113010,Fair Game,1995
71,tt0113537,Kicking and Screaming,1995
72,tt0113828,Les Miserables,1995
73,tt0115644,Bed of Roses,1996
74,tt0115676,Big Bully,1996
75,tt0114367,Screamers,1995
76,tt0113973,Nico Icon,1995
77,tt0112744,The Crossing Guard,1995
78,tt0116731,The Juror,1996
79,tt0112445,The White Balloon,1995
80,tt0114660,Things to Do in Denver When You're Dead,1995
81,tt0112379,Antonia's Line,1995
82,tt0114039,Once Upon a Time... When We Were Colored,1996
83,tt0113612,Last Summer in the Hamptons,1995
84,tt0112365,Angels and Insects,1995
85,tt0118158,White Squall,1996
86,tt0116151,Dunston Checks In,1996
87,tt0115697,Black Sheep,1996
88,tt0113972,Nick of Time,1995
89,tt0113490,The Journey of August King,1995
90,tt0117002,Mary Reilly,1996
91,tt0114825,Vampire in Brooklyn,1995
92,tt0115639,Beautiful Girls,1996
93,tt0115759,Broken Arrow,1996
94,tt0113403,A Midwinter's Tale,1995
95,tt0113247,La Haine,1995
96,tt0111173,Shopping,1994
97,tt0113283,Heidi Fleiss: Hollywood Madam,1995
98,tt0115907,City Hall,1996
99,tt0115734,Bottle Rocket,1996
100,tt0117102,Mr. Wrong,1996
101,tt0118040,Unforgettable,1996
102,tt0116483,Happy Gilmore,1996
103,tt0112579,The Bridges of Madison County,1995
104,tt0110251,Nobody Loves Me,1994
105,tt0117110,Muppet Treasure Island,1996
106,tt0112646,Catwalk,1995
107,tt0113276,Headless Body in Topless Bar,1995
108,tt0112573,Braveheart,1995
109,tt0075314,Taxi Driver,1976
110,tt0113326,Rumble in the Bronx,1995
111,tt0115645,Before and After,1996
112,tt0113774,Margaret's Museum,1995
113,tt0112556,Happiness Is in the Field,1995
114,tt0112373,Anne Frank Remembered,1995
115,tt0115033,The Young Poisoner's Handbook,1995
116,tt0116606,If Lucy Fell,1996
117,tt0114536,Steal Big Steal Little,1995
118,tt0117427,Race the Sun,1996
119,tt0106473,The Boys of St. Vincent,1992
120,tt0103859,Boomerang,1992
121,tt0109424,Chungking Express,1994
122,tt0114808,The Star Maker,1995
123,tt0116324,Flirting with Disaster,1996
124,tt0110647,The Neverending Story III: Escape from Fantasia,1994
125,tt0111055,The Silences of the Palace,1994
126,tt0110217,Jupiter's Wife,1995
127,tt0114131,Pie in the Sky,1996
128,tt0112364,Angela,1995
129,tt0113107,Frankie Starlight,1995
130,tt0113451,Jade,1995
131,tt0114015,Nueba Yol,1995
132,tt0114500,Sonic Outlaws,1995
133,tt0116130,Down Periscope,1996
134,tt0113125,From the Journals of Jean Seberg,1995
135,tt0113756,Man of the Year,1995
136,tt0113952,The Neon Bible,1995
137,tt0114618,Target,1995
138,tt0118055,Up Close & Personal,1996
139,tt0115685,The Birdcage,1996
140,tt0113200,Virgin Mary,1995
141,tt0112585,The Brothers McMullen,1995
142,tt0112442,Bad Boys,1995
143,tt0112342,The Amazing Panda Adventure,1995
144,tt0112461,The Basketball Diaries,1995
145,tt0112427,An Awfully Big Adventure,1995
146,tt0109093,Amateur,1994
147,tt0112384,Apollo 13,1995
148,tt0114287,Rob Roy,1995
149,tt0112288,The Addiction,1995
150,tt0112462,Batman Forever,1995
151,tt0061395,Belle de Jour,1967
152,tt0112495,Beyond Rangoon,1995
153,tt0112541,Blue in the Face,1995
154,tt0109370,Canadian Bacon,1995
155,tt0112642,Casper,1995
156,tt0112688,Clockers,1995
157,tt0112715,Congo,1995
158,tt0112740,Crimson Tide,1995
159,tt0109508,Crumb,1994
160,tt0112851,Desperado,1995
161,tt0112857,Devil in a Blue Dress,1995
162,tt0112864,Die Hard: With a Vengeance,1995
